1	a.
1	A.
1	aa.
1	AA.
1	a.al.
1	Ab.
1	A.B.
1	abc.
1	abis.
1	abissín.
1	abl.
1	abr.
1	abrev.
1	abs.
1	åbs.
1	absol.
1	abst.
1	abstr.
1	abus.
1	a.c.
1	ac.
1	a.C.
1	A.C.
1	aç.
1	acad.
1	academ.
1	acadêm.
1	acc.
1	a.C.e.
1	açor.
1	acus.
1	acúst.
1	a.d.
1	ad.
1	A.D.
1	adag.
1	adapt.
1	adit.
1	adj.
1	adj.2g.
1	adj.2g.2n.
1	adjet.
1	adm.
1	admir.
1	adv.
1	Adv.
1	adverb.
1	advers.
1	advoc.
1	a.e.c.
1	A.E.C.
1	aer.
1	aerof.
1	aeron.
1	aerost.
1	aet.
1	aetat.
1	af.
1	afér.
1	afl.
1	afls.
1	afor.
1	afr.
1	afric.
1	afrolus.
1	ag.
1	ág.
1	agl.
1	agn.
1	ago.
1	agric.
1	agrim.
1	agrol.
1	agron.
1	a.H.
1	A.H.
1	aj.
1	al.
1	Al.
1	alat.
1	alb.
1	alf.
1	alfaiat.
1	alg.
1	álg.
1	algar.
1	algv.
1	alm.
1	ALM.
1	alop.
1	alp.
1	alq.
1	alquil.
1	als.
1	alt.
1	altan.
1	alter.
1	altern.
1	altit.
1	alus.
1	alv.
1	alveit.
1	alven.
1	a.m.
1	am.
1	A.M.
1	a.m.a.
1	amár.
1	A.M.D.G.
1	amer.
1	an.
1	aná.
1	anal.
1	anál.
1	anam.
1	anarq.
1	anat.
1	and.
1	anes.
1	ang.
1	angl.
1	angol.
1	anim.
1	anôn.
1	ant.
1	antec.
1	antig.
1	antiq.
1	antol.
1	anton.
1	antôn.
1	antonom.
1	antr.
1	antrop.
1	antropogr.
1	antropol.
1	antropon.
1	antropôn.
1	anu.
1	a.p.
1	ap.
1	Ap.
1	apart.
1	apass.
1	apênd.
1	apic.
1	apl.
1	apóc.
1	aport.
1	aportg.
1	aportug.
1	aprox.
1	aq.
1	ar.
1	Ar.
1	A.R.
1	ár.
1	ara.
1	aráb.
1	aracn.
1	aram.
1	arb.
1	arboric.
1	arc.
1	Arc.
1	arcaic.
1	arceb.
1	arcebd.
1	arcip.
1	arcipd.
1	ard.
1	arg.
1	arit.
1	aritm.
1	aritmol.
1	arm.
1	arom.
1	arq.
1	arqueol.
1	arquid.
1	arquip.
1	arquit.
1	arr.
1	art.
1	artes.
1	artesan.
1	artilh.
1	artíst.
1	aru.
1	a.s.
1	as.
1	ASAP.
1	ascet.
1	asiát.
1	asolus.
1	asp.
1	ass.
1	assem.
1	assemb.
1	assim.
1	assist.
1	assoc.
1	ast.
1	astr.
1	astr.f.
1	astr.f.pl.
1	astr.m.
1	astr.m.pl.
1	astrol.
1	astron.
1	astrôn.
1	astronáut.
1	astroním.
1	a.t.
1	at.
1	A.t.
1	át.
1	ativ.
1	atl.
1	atlt.
1	atm.
1	atom.
1	atôm.
1	atr.
1	atual.
1	atualid.
1	atualm.
1	au.
1	A.U.C.
1	aum.
1	aus.
1	austr.
1	austral.
1	aut.
1	auto.
1	autom.
1	automat.
1	aux.
1	av.
1	Av.
1	A.V.
1	A.V.C.
1	aven.
1	aviaç.
1	avic.
1	ax.
1	axiôn.
1	b.
1	B.
1	B.a.
1	B.A.
1	bact.
1	bacter.
1	bacteriol.
1	bal.
1	balíst.
1	bált.
1	Bar.
1	bárb.
1	basq.
1	bat.
1	B.B.
1	bbl.
1	beir.
1	beng.
1	berb.
1	b.f.
1	B.F.
1	bíb.
1	bibl.
1	bíbl.
1	Bíbl.
1	bibl.f.
1	bibliof.
1	bibliog.
1	bibliogr.
1	bibliol.
1	bibliôn.
1	bibliot.
1	bibliotec.
1	bibliotecon.
1	bibl.m.
1	bibl.m.pl.
1	biblog.
1	biblol.
1	biblon.
1	b.i.d.
1	bien.
1	bif.
1	bim.
1	bimen.
1	biodim.
1	biofís.
1	biogen.
1	biogên.
